EDGE Rank,Order,Family,Species,Common Name,IUCN Category,Assigned IUCN2012,ED Score,ED IQR,ED 05Percentile,ED 95Percentile,EDGE Score,EDGE IQR,EDGE 05Percentile,EDGE 95Percentile
5878,PELECANIFORMES,Ardeidae,Ardea cinerea,Grey Heron,LC,LC,6.377957,1.710413,4.715378,8.633426,1.998497,0.997101,1.743161,2.265239
5879,PASSERIFORMES,Parulidae,Myioborus albifrons,White-fronted Redstart,NT,NT,2.688705,0.677982,1.896847,3.525368,1.998423,1.210739,1.75677,2.202846
5880,PASSERIFORMES,Acanthizidae,Gerygone mouki,Brown Gerygone,LC,LC,6.377227,2.421425,3.967789,9.489026,1.998398,1.230057,1.602975,2.35033
5881,PROCELLARIIFORMES,Procellariidae,Puffinus assimilis,Little Shearwater,LC,LC,6.375454,1.140913,4.994141,7.743176,1.998158,0.761232,1.790782,2.168274
5882,GALLIFORMES,Phasianidae,Perdicula asiatica,Jungle Bush-quail,LC,LC,6.374839,3.084799,3.788204,11.524047,1.998074,1.407272,1.566155,2.527651
5883,PASSERIFORMES,Campephagidae,Lalage aurea,Rufous-bellied Triller,LC,LC,6.373276,4.054223,3.399963,12.525993,1.997862,1.620224,1.481596,2.604613
5884,PASSERIFORMES,Ploceidae,Brachycope anomala,Bob-tailed Weaver,LC,LC,6.373258,3.878462,3.261488,12.796109,1.99786,1.58483,1.449618,2.624387
5885,GRUIFORMES,Gruidae,Grus rubicunda,Brolga,LC,LC,6.37203,1.269728,5.077235,7.949759,1.997693,0.81966,1.80455,2.191627
5886,PASSERIFORMES,Furnariidae,Asthenes hudsoni,Hudson's Canastero,NT,NT,2.685168,1.840182,1.367551,5.773744,1.997463,1.737015,1.555003,2.606201
5887,PASSERIFORMES,Cotingidae,Cotinga nattererii,Blue Cotinga,LC,LC,6.36974,3.933604,3.246222,12.949346,1.997382,1.59607,1.44603,2.635433
5888,STRIGIFORMES,Strigidae,Otus manadensis,Sulawesi Scops-owl,LC,LC,6.369721,5.007132,3.364361,16.131177,1.99738,1.792947,1.473472,2.8409
5889,PICIFORMES,Picidae,Chrysocolaptes lucidus,Greater Flameback,LC,LC,6.369406,2.18777,4.208202,9.554573,1.997337,1.159321,1.650235,2.356559
5890,PICIFORMES,Picidae,Chrysocolaptes festivus,White-naped Woodpecker,LC,LC,6.369406,2.18777,4.208202,9.554573,1.997337,1.159321,1.650235,2.356559
5891,FALCONIFORMES,Falconidae,Falco ardosiaceus,Grey Kestrel,LC,LC,6.369301,3.493013,3.452548,11.801326,1.997323,1.502524,1.493477,2.549549
5892,PASSERIFORMES,Troglodytidae,Thryothorus thoracicus,Stripe-breasted Wren,LC,LC,6.368807,1.322625,4.599683,7.996659,1.997256,0.842698,1.72271,2.196853
5893,PASSERIFORMES,Timaliidae,Alcippe pyrrhoptera,Javan Fulvetta,LC,LC,6.368557,3.831328,2.983119,12.427181,1.997222,1.575121,1.382065,2.597281
5894,PASSERIFORMES,Troglodytidae,Thryothorus leucopogon,Stripe-throated Wren,LC,LC,6.36738,1.322558,4.737826,7.992518,1.997062,0.842669,1.74708,2.196393
5895,PASSERIFORMES,Tyrannidae,Neoxolmis rufiventris,Chocolate-vented Tyrant,LC,LC,6.366662,1.79432,4.360436,8.746396,1.996965,1.027589,1.679045,2.276898
5896,PASSERIFORMES,Thamnophilidae,Myrmotherula multostriata,Amazonian Streaked Antwren,LC,LC,6.36609,1.384159,4.494038,8.003144,1.996887,0.868847,1.703664,2.197574
5897,APODIFORMES,Trochilidae,Lesbia victoriae,Black-tailed Trainbearer,LC,LC,6.365057,0.889528,5.38709,7.552039,1.996747,0.636327,1.854279,2.14617
5898,APODIFORMES,Trochilidae,Lesbia nuna,Green-tailed Trainbearer,LC,LC,6.365057,0.889528,5.38709,7.552039,1.996747,0.636327,1.854279,2.14617
5899,PASSERIFORMES,Acanthizidae,Gerygone tenebrosa,Dusky Gerygone,LC,LC,6.364608,3.388874,3.719536,13.478776,1.996686,1.479073,1.55171,2.672684
5900,PASSERIFORMES,Sylviidae,Orthotomus sutorius,Common Tailorbird,LC,LC,6.362605,3.720138,3.556692,11.802921,1.996414,1.551838,1.516597,2.549673
5901,CORACIIFORMES,Meropidae,Merops pusillus,Little Bee-eater,LC,LC,6.362587,0.998946,5.259749,7.691966,1.996411,0.69262,1.83414,2.162399
5902,COLUMBIFORMES,Columbidae,Macropygia amboinensis,Brown Cuckoo-dove,LC,LC,6.362052,2.710934,3.919962,9.091114,1.996339,1.311284,1.593301,2.311655
